,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
596,13963,1,2.0,150.0,,,,,,Gezellig Restaurant in het Centrum,Gezellig Restaurant in het Centrum,"Dit gezellige restaurant ligt dicht bij de Wallen in het iconische stadscentrum. Deze ruimte is perfect voor merken om een ​​Food Pop-Up, Modeshowroom of Persevenementen te openen.

Met een uitnodigende entree en grote ramen, is er veel natuurlijk licht en een contrasterende sfeer. Het verbazingwekkende interieur van witte plafonds en klassieke vloeren maken deze ruimte ongelooflijk. Deze ruimte biedt veel voorzieningen, waaronder een voorraadkamer, een bar, stoelen en tafels en is geschikt voor een verscheidenheid aan unieke evenementen.

Omringd door winkels en trendy restaurants, is deze ruimte ideaal voor modemerken en creatieve professionals om indruk te maken in een drukke omgeving.",Dit gezellige restaurant ligt dicht bij de Wallen in het iconische stadscentrum.,City Center,Amsterdam,,Restaurant / Bar / Cafe,,Air Conditioning;Electricity;Heating;Lighting;Security System;Street Level;Toilets,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Corporate Event;Photoshoot & Filming,amsterdam
736,9559,1,7.0,1000.0,,1500.0,5000.0,,,Pop-Up Ruimte in Centrum van Amsterdam,Pop-Up Ruimte in Centrum van Amsterdam up to 50/75 people,"Deze pop-upwinkel van 81 m² ligt in het hart van Amsterdam en is te huur voor productlanceringen, privéverkopen, modeshows en nog veel, veel meer.

Doordat het op de begane grond is, is het zowel goed zichtbaar als gemakkelijk toegankelijk. De ruimte bevat ook een kleine binnenplaats van 8m² die kan dienen als rookruimte.

Deze brede ruimte is goed verlicht en geventileerd. Het monochrome ontwerp met witte muren en grimmig contrasterende meubels zorgen voor een mooie, schone afwerking; het is uitgerust met internet, een keuken, een voorraadkamer en een binnenplaats.","Deze pop-upwinkel van 81 m² ligt in het hart van Amsterdam en is te huur voor productlanceringen, privéverkopen, modeshows en nog veel, veel meer.",Historic City Center,Amsterdam,1012 ES,Apartment / Loft,,Furniture;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Stock Room;Internet;Sound & Video Equipment;Toilets;Ground Floor,Corporate Event,amsterdam
818,19711,180,365.0,,10000.0,,,,,Fantastisch Winkelpand in de Leidsestraat,Fantastisch Winkelpand in de Leidsestraat,"Dit prominente winkelpand bevindt zich in een van de drukste winkelstraten van Amsterdam tussen het Leidseplein en het Koningsplein. De in totaal 163m2 is verdeeld over meerdere verdiepingen. 

Er zijn vele mogelijkheden met het pand. Het oppervlakte op de begane grond bedraagt in totaal zo'n 60m2. Daarnaast is er een entresol van 22m2. De beschikbare opslag van ruim 90m2 is uniek gezien de zeer centrale locatie. 

De straat kenmerkt zich al jaren als bekend winkelgebied in Amsterdam. Grote internationale retailers zoals Abercrombie & Fitch, Timberland, Ici Paris, Boss en Levi's zijn hier gevestigd. 

Als je op zoek bent naar een winkelpand in een gebied met hoge footfall en zichtbaarheid, op een van Amsterdam's drukste winkelplekken zoek dan niet verder en vraag direct meer informatie aan.",Dit prominente winkelpand bevindt zich in een van de drukste winkelstraten van Amsterdam tussen het Leidseplein en het Koningsplein.,,Amsterdam,1017 PD,Boutique / Shop,,Electricity;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Toilets,Pop-Up Store,amsterdam
840,22763,1,365.0,1000.0,15000.0,1500.0,5000.0,False,,White Box Pop-Up Space in hartje Amsterdam,White Box Pop-Up Space in hartje Amsterdam,"In dit geweldige 17de eeuwse gebouw bevindt zich een prachtige event space. Met hoge plafonds, een prachtig uitzicht op de tuin en betonnen vloeren is deze ruimte zeer uniek. Om de hoek liggen de universiteit van Amsterdam, Hotel L'europe, Rembrandtplein en Waterlooplein. Deze ruimte is ideaal voor pop-up events, showrooms en andere type bijeenkomsten.",In dit geweldige 17de eeuwse gebouw bevindt zich een prachtige event space.,,Amsterdam,1011 HW,Event Space,,Electricity;Handicap Accessible;Heating;Lighting;Street Level;Internet;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Corporate Event;Photoshoot & Filming,amsterdam
869,25466,30,,,10000.0,,,,,,Uniek tijdelijk hoekpand in hartje centrum,"Unieke kans op een tijdelijke huur van dit fantastische hoekpand op een fantische locatie vlakbij de Bloemenmarkt, Leidseplein en Kalverstraat. De winkelruimte is gelegen in de directe omgeving van o.a. Starbucks, Henri
Willig, Shoebaloo, Philipp Plein, Arket, de nieuw te openen Victoria’s Secret en de Leidsestraat.",,,Amsterdam,1017 BB,Boutique / Shop,,Air Conditioning;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Toilets;Stunning View;Ground Floor;Bathroom;Whitebox / Minimal;Large Door Entrance,Private Sale;Product Launch;Pop-Up Store,amsterdam
900,17028,1,,1200.0,,,,False,,Geweldige Event Ruimte met Tuin,Geweldige Event Ruimte met Tuin,"Deze ruime kamer ligt midden in het centrum van Amsterdam en is ideaal voor privé-evenementen, zakelijke bijeenkomsten en productlanceringen.

Deze ruimte heeft klassieke witte muren, maar rode gordijnen, die de kamer interessant maken en de mogelijkheid bieden om de ruimte te verdelen. Met een groot raam met uitzicht op de prachtige groene tuin is deze unieke ruimte een echte eyecatcher. Voorzieningen als stoelen, tafels en geluidsapparatuur kunnen als extra interieur worden gehuurd.

Gelegen direct naast het Muntplein en dicht bij de Dam, in een straat met verschillende winkels, profiteert deze ruimte van veel passerende mensen. Deze ruimte is ideaal voor merken en artiesten om een ​​evenement te organiseren.","Deze ruime kamer ligt midden in het centrum van Amsterdam en is ideaal voor privé-evenementen, zakelijke bijeenkomsten en productlanceringen.",City Center,Amsterdam,1011 JJ,Event Space,,Furniture;Electricity;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Office Equipment;Sound & Video Equipment;Toilets;Garden,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,amsterdam
951,17027,1,,575.0,,,,False,,Unieke Vergader Ruimte in het Centrum,Unieke Vergader Ruimte in het Centrum,"Deze prachtige kleine vergaderruimte, gelegen in het centrum van Amsterdam, is ideaal voor een productlancering, privé- of bedrijfslogo's.

Deze ruimte heeft een creatieve witte muurversiering met boeken om een ​​bibliotheek gevoel te creëren. Deze zaal heeft grote ramen en een kleurrijk interieur en biedt ruimte aan tal van zakelijke en pop-ups.

Gelegen vlak naast het Muntplein en dicht bij de Dam, in een straat met verschillende winkels, profiteert deze ruimte van de zeer goed bereikbare locatie. Deze ruimte is ideaal voor merken en bedrijven om een ​​evenement te organiseren.","Deze prachtige kleine vergaderruimte, gelegen in het centrum van Amsterdam, is ideaal voor een productlancering, privé- of bedrijfslogo's.",City Center,Amsterdam,1011 JJ,Meeting Space,,Furniture;Garment Rack;Electricity;Heating;Kitchen;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets;Whitebox / Minimal,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,amsterdam
1089,28635,336,,,3800.0,,,False,,,White Box Boutique near P.C. Hooftstraat,"Located in Amsterdam South, near Leidseplein, Museumplein and Vondelpark. Around the corner from the exclusive P.C. Hooftstraat. Accessibility by car and public transport is good. The Rijksmuseum and Leidseplein stops are both within walking distance. Paid parking on the public road and in the Q-park Byzantine parking garage 170 meters away.",,,Amsterdam,1071 XZ,Boutique / Shop,,Electricity;Heating;Lighting;Street Level;Internet;Window Display;Toilets;Ground Floor;Whitebox / Minimal,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Office,amsterdam
1103,26064,1,,735.0,12495.0,1470.0,3675.0,False,,,Homely Meeting Location on the Amsterdam Canal,"This location is filled with charisma, right in the heart of Amsterdam, with beautiful windows, lots of natural light, and unique views of the canals. 

It is a private meeting venue (exclusively for one party) with 3 homely decorated rooms and a small patio outside. There is the main meeting room that overlooks the canal, a smaller upstairs room and the souterrain/kitchen.",,,Amsterdam,1015 AC,Meeting Space,,Air Conditioning;Heating;Kitchen;Street Level;Internet;Toilets;Living Space;Stunning View;Multiple Rooms,Product Launch;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Photo Shooting,amsterdam
1104,12914,1,14.0,950.0,,,,False,,Creatieve Ruimte in het Centrum,Creatieve Ruimte in het Centrum,"Gelegen in het bruisende historische centrum dicht bij de Kalverstraat, is deze unieke locatie een uitstekende locatie voor merken om privéevenementen, exclusieve verkoop of productlanceringen te organiseren.

Deze ruimte heeft een elegante voorgevel en is gevestigd in een privégebouw. Met een gecureerde high-end decor en antieke functies is deze ruimte smaakvol. Het art-deco-interieur bestaat uit historische hardhouten vloeren en een glazen overkapping geven de locatie een stijlvolle sfeer. Deze ruimte biedt basisvoorzieningen, waaronder een keuken en is geschikt voor een verscheidenheid aan unieke evenementen.

Omringd door toeristische attracties en populaire winkels, is deze ruimte ideaal voor creatieve professionals en merken om onvergetelijke evenementen te organiseren in een artistieke setting.","Gelegen in het bruisende historische centrum dicht bij de Kalverstraat, is deze unieke locatie een uitstekende locatie voor merken om privéevenementen, exclusieve verkoop of productlanceringen te organiseren.",Historic City Center,Amsterdam,1012 KE,Event Space,,Air Conditioning;Furniture;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Toilets,Private Sale;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,amsterdam
1119,13452,1,28.0,500.0,14000.0,550.0,3500.0,False,,Unieke Event Ruimte in de Jordaan,Unieke Event Ruimte in de Jordaan,"Deze prachtige studio in het artistieke gedeelte van de Jordaan is perfect voor merken die een Pop-Up Event, een Food Event of een Photoshoot willen organiseren.

Deze ruimte heeft een klassieke voorgevel met een uitnodigend venster. Het unieke interieur van schijnwerpers en houten vloeren maakt deze ruimte smaakvol. Met een professionele keuken, meubels en planken is deze ruimte goed uitgerust voor een breed scala aan eetevenementen en pop-ups.

Gelegen dicht bij 9 Straatjes en Anne Frank Huis, deze studio is gemakkelijk toegankelijk en een geweldige optie voor merken en individuen die een uniek pop-up evenement willen opzetten.

Verhuurtijden:
Maandag t/m vrijdag: 9.00 uur tot 22.00 uur
Zaterdag en zondag: 9.00 uur tot 23.00 uur

Of tijden in overleg","Deze prachtige studio in het artistieke gedeelte van de Jordaan is perfect voor merken die een Pop-Up Event, een Food Event of een Photoshoot willen organiseren.",Jordaan,Amsterdam,1016 PT,Creative Space,,Furniture;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets;Water Access;Smoking Area,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting,amsterdam
1136,22635,3,3.0,500.0,,,,False,,HIppe F&B Space In Centrum,HIppe F&B Space In Centrum,"Deze ruimte bevindt zich binnen een populair food concept in een van de mooiste gebouwen van de stad. Het bevindt zich op de tweede verdieping van het gebouw. Het concept brengt locals en toeristen bij elkaar in een bruisende en gezellige sfeer. De ruimte staat bekend om haar geweldige uitzicht en prachtig interieur. 

De beschikbare ruimte bevindt zich achter een bar en heeft twee ingangen. Het leent zich zeer goed voor F&B concepten. Vraag meer informatie aan via de groene knop en kom in contact met de eigenaar.",Deze ruimte bevindt zich binnen een populair food concept in een van de mooiste gebouwen van de stad.,,Amsterdam,1012 SJ,Restaurant / Bar / Cafe,,Electricity;Handicap Accessible;Heating;Lighting;Security System;Internet;Toilets,Fashion Show;Art Opening;Product Launch;Fashion Showroom;Corporate Event;Photoshoot & Filming;Food & Beverage,amsterdam
1178,16296,3,28.0,275.0,3125.0,400.0,1250.0,False,,White Box in het Centrum,White Box in het Centrum,"Deze prachtige en moderne boetiek ligt in het creatieve centrum van het stadscentrum. Deze ongelooflijke ruimte is een ideale locatie voor een pop-up store.

Met een volledig glazen ingang, is deze locatie gevuld met een prachtig licht, waardoor een lichtgevende sfeer ontstaat. De interieurs hier zijn modern met witte muren, schijnwerpers en donkere gepolijste betonnen vloeren, evenals parketvloeren op het bovenste niveau van de ruimte. Deze plug-and-play-ruimte is goed uitgerust voor pop-ups met een keuken en een split-level.

Deze white-box ruimte is gelegen in een prime-gebied, in het stadscentrum en ook dicht bij het Centraal Station. Het is een geweldige plek om een ​​pop-up store te hosten, maar ook een kunsttentoonstelling.",Deze prachtige en moderne boetiek ligt in het creatieve centrum van het stadscentrum.,,Amsterdam,1011 CV,Art Gallery,,Electricity;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Window Display;Toilets,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming,amsterdam
1209,12910,1,14.0,2500.0,,,,False,,Unieke Ruimte in het centrum,Unieke Ruimte in het centrum,"Deze spectaculaire en unieke locatie ligt in het culturele centrum en is ideaal voor privé-evenementen, exclusieve verkoop of productlanceringen.

Deze ruimte is gevestigd in een historisch gebouw met een klassieke ingang en heeft een karakteristieke en creatieve uitstraling. De interieurs hier zijn art-deco met hardhouten vloeren en een glazen overkapping. De ruimte heeft een authentieke sfeer en het gecureerde high-end decor geeft de ruimte een smaakvolle uitstraling. Met faciliteiten als een keuken, een projector, stoelen en tafels, biedt deze ruimte ruimte aan een reeks unieke evenementen.

Gunstig gelegen in het bruisende centrum van het historische stadscentrum, dichtbij de Kalverstraat en het Rokin, bevindt deze ruimte zich op een toplocatie. Het is een uitzonderlijke kans in een zeer gewilde omgeving en perfect voor creatieve professionals en merken om onvergetelijke evenementen te organiseren.","Deze spectaculaire en unieke locatie ligt in het culturele centrum en is ideaal voor privé-evenementen, exclusieve verkoop of productlanceringen.",Historic City Center,Amsterdam,1012 KE,Event Space,,Air Conditioning;Furniture;Electricity;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Office Equipment;Sound & Video Equipment;Toilets,Private Sale;Product Launch;Food Event;Corporate Event;Photoshoot & Filming,amsterdam
1217,12915,1,14.0,950.0,,,,False,,Geweldige Venue in het Centrum,Geweldige Venue in het Centrum,"Deze ongelooflijke locatie is gunstig gelegen in het populaire gebied van het historische stadscentrum dicht bij het Damsquare. Het is een geweldige plek voor privé-evenementen, exclusieve verkoop of productlanceringen.

Deze karaktervolle ruimte heeft een trendy gevoel met zijn art-deco-interieurs. De slanke ramen en glazen kap zorgen voor veel natuurlijke lichtinval in de ruimte, waardoor een goed verlichte ambiance ontstaat. Met faciliteiten, waaronder een keuken en een beamer, kan deze locatie een reeks privé-functies bieden.

Deze locatie, dicht bij de Kalverstraat en het Rokin, is gemakkelijk bereikbaar en een geweldige locatie voor unieke evenementen.",Deze ongelooflijke locatie is gunstig gelegen in het populaire gebied van het historische stadscentrum dicht bij het Damsquare.,Historic City Center,Amsterdam,1012 KE,Event Space,,Air Conditioning;Furniture;Fitting Rooms;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Toilets,Private Sale;Product Launch;Food Event,amsterdam
1250,30634,84,,,7250.0,,,,,,White Box Retail Space at Utrechtsestraat,"This high-quality retail space is located in the shopping street, the Utrechtsestraat, in the middle of Amsterdam, near the Rembrandtplein and the Amsterdamse Pijp.

The street is characterized by a mix of high-quality boutiques of both local and international brands. The retail space is located in the immediate vicinity of Filippa K., ASOP, Rituals, Mobilia, We are Labels, Cowboys 2 Catwalk and BOLIA.com.

Size:
The store is approximately 140 m² in size and subdivided into approximately 120 m² retail space with approximately 20 m² archive/kitchen/toilet area. There is a possible possibility to rent out the store as two separate stores of approximately 70 m² each, but the wish is to rent out everything in its entirety.

Delivery:
The store will be delivered once in the current hull condition including the following facilities;
- Fully modernized in 2018
- Solid wood floor
- Heating and air conditioning installation
- New kitchen and toilet",,,Amsterdam,1017 VL,Boutique / Shop,,Electricity;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Toilets;Ground Floor;Whitebox / Minimal;Water Access,Private Sale;Art Opening;Pop-Up Store;Fashion Showroom,amsterdam
1386,33865,1,28.0,375.0,4000.0,450.0,1200.0,True,100.0,,NO. 4 ‘The Speak Easy’ - Stylish space for meetings/workshops/presentations with bar in the heart of Amsterdam,"Nº. 4 ‘The Speakeasy’ can be hired as a private meeting room, a pod cast studio (mobile professional podcast station available), space to host small events (max. 15-20 people) as well as stylish remote work option. 
Its central Amsterdam location (just off Rembrandtplein) makes it ideal for presentations, meetings, and gatherings.
This multi-leveled space, with a “circle” meeting table as its centerpiece, comes with a fully equipped cocktail/wine bar. It’s a relaxed and private, yet professional, environment with ample parking space around the corner. Parking 'The Bank' is at a 1 minute walk, Parking 'Waterlooplein' is located 5 min. walking from nr. 4",,,Amsterdam,1017 CZ,Meeting Space,,Furniture;Electricity;Heating;Kitchen;Lighting;Internet;Sound & Video Equipment;Ground Floor;Bathroom;Bar;Water Access,Private Sale;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Conference;Food & Beverage;Meeting;Office,amsterdam
1387,19160,168,,,3000.0,,,False,,Pop-Up Store in de Pijp,Pop-Up Store in de Pijp,"Deze prachtige ruimte van 60 m² bevindt zich  in de bruisende wijk De Pijp en de beroemde Albert Cuyp straatmarkt. Zeer geschikt voor pop-ups, PR-events, art openings en meetings. 

Deze locatie is een erg gemakkelijke plek voor klanten om te komen en gaan, met een capaciteit variërend van 25 t/m 45 mensen, afhankelijk van de opstelling die wenselijk is. Daarnaast is de locatie nog eens enorm gemakkelijk te bereiken met de fiets, auto evenals met de tram.

De plafondhoogte van drie meter geeft de ruimte een open gevoel dat kan worden aangevuld met uw eigen inrichting van het meubilair en de verlichting. Deze studio heeft alle benodigdheden van dien, met een keuken, toilet, kleine extra keuken en internet bent u er nog niet. Onze ruimte beschikt ook over een flatscreen tv en beamer.  

De mooie rode koelkast is gevuld met verfrissende drankjes en u kunt heerlijke koekjes, gezonde repen en allerlei hapjes terugvinden in de goody box. Op steenworp afstand van de ruimte ligt ook de stijlvolle go-to van Amsterdam, IZAKAYA Asian Kitchen & Bar, waar u kunt genieten van Japans geïnspireerde klassiekers. 

Met een oppervlakte van 60 vierkante meter geeft deze ruimte mogelijkheden aan een eindeloze reeks ideeën. De ruimte is volledig uitgerust en biedt alles, van Wi-Fi tot een keuken met een design-koelkast en meer dan voldoende opslagruimte. Al met al is deze locatie de perfecte keuze voor uw volgende evenement. 

Neem contact met ons op en wij laten graag onze flexibiliteit en creativiteit de vrije loop!",Deze prachtige ruimte van 60 m² bevindt zich  in de bruisende wijk De Pijp.,,Amsterdam,1072 CT,Boutique / Shop,,Air Conditioning;Furniture;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Daylight,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Food Event;Corporate Event;Meeting,amsterdam
