,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
665,15238,1,,17000.0,,,,,,Espace exclusif rue Saint Honoré,Espace exclusif rue Saint Honoré,"Quatre salles dédiées, modulables pour offrir une plus grande capacité d'accueil.  Toutes surplombent le superbe jardin arboré, planté de camélias, et sur l'extraordinaire cascade de fleurs, adossée aux balcons de sept étages.

Vous y trouverez la technologie dernier cri dont vous avez besoin, notamment des projecteurs, des écrans et une installation audio avec son surround.","Quatre salles dédiées, modulables pour offrir une plus grande capacité d'accueil.",,Paris,75001,Event Space,,Air Conditioning;Electricity;Heating;Lighting;Security System;Internet;Sound & Video Equipment;Toilets,Product Launch;Fashion Showroom;Corporate Event,paris
693,29610,1,,900.0,14500.0,950.0,4750.0,,,,Loft Industriel Lumineux et Créatif,"Ce Loft est un espace lumineux et chaleureux conçu par des expertes en facilitation et innovation, et a été pensé pour apporter fluidité et créativité à vos projets, défilés, présentations, événements !

260m² d’espaces modulaires, regroupant 
> un magnifique loft et  mezzanine de 160m2, 
> un duplex de 100m2, 
> un toit terrasse de 40m2 pour vos pauses en extérieur

Ses entrées de lumière, son parquet chaleureux et son architecture post industrielle font de cet espace un lieu confortable, accueillant, et esthétique, apte à marquer les esprits de vos invités et de vos participants.

Le design du lieu et sa grande plasticité permettent d’exploiter sous de nombreuses formes toutes ses possibilités. Ses quatre salles intérieures peuvent se décliner en de nombreux espaces modulables, avec de nombreux équipements à disposition pour multiplier votre créativité !

Un studio photo attenant peut être loué pour des shootings privés ou événementiels.

A moins de 10mn de la Porte d’Italie, à deux pas de l’A6, à seulement 10 minutes de l’aéroport d’Orly, et 5 minutes du RER B !",,,Cachan,94230,Apartment / Loft,,Air Conditioning;Furniture;Garment Rack;Electricity;Handicap Accessible;Heating;Kitchen;Internet;Office Equipment;Toilets;Rooftop;Raw;Whitebox / Minimal;Industrial;Large Door Entrance;Multiple Rooms;Water Access,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,paris
711,26480,1,56.0,290.0,8000.0,330.0,2700.0,,,,Studio Photo Boutique à Paris,"****ACCEPTE UNIQUEMENT LES PROJETS DE SHOOTINGS****

Location de studio photo professionnel, le studio est situé à Paris, près de la place d'Italie. Il est accessible directement depuis la rue dans une belle boutique parisienne. Il est parfait pour les événements, les séances photo / vidéo, castings ou pour expositions d’art.

Tous les équipements  du studio sont inclus: 
4 flashs ELC pro HD de 500w - Elinchrom, 8 modificateurs de lumières, 2 octa, 2 strips, 3 boîtes à lumières carrés, 1 bol beauté et plusieurs réflecteurs, pour la lumière continue - 3 torches led à 5600k  et 2 panneaux led bicolores 3200k - 5600k. Vous avez également accès à l’ordinateur, un imac 5k, avec toute la suite adobe installé.",,,Paris,75013,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Heating;Lighting;Internet;Window Display;Toilets;Ground Floor,Photoshoot & Filming;Photo Shooting,paris
726,16299,2,15.0,10000.0,,20000.0,40000.0,,,Espace Unique proche de l'Arc de Triomphe,Espace Unique proche de l'Arc de Triomphe,"Cet espace lumineux et moderne de 500 m² est situé dans le quartier huppé de l'Arc de Triomphe. Cet espace sophistiqué est un lieu idéal pour une salle d'exposition, un événement privé ou une vente exclusive.

Installé dans un bâtiment classique avec une entrée privée, cet espace est élégant avec une ambiance sophistiquée. Cet espace présente des intérieurs classiques avec un sol en marbre, du parquet et de belles fenêtres. L'espace a une atmosphère de bon goût avec un bord historique. Cet espace offre des commodités de base, y compris une zone de stockage et peut accueillir une variété d'événements showroom.

Cet espace est entouré de plusieurs magasins phares tels que Louis Vuitton, Christian Dior, Burberry et Etro. C'est une opportunité exceptionnelle pour les marques de s'aligner sur les plus grandes marques du monde.",Cet espace lumineux et moderne de 500 m² est situé dans le quartier huppé de l'Arc de Triomphe.,,Paris,75008,Unique Space,,Air Conditioning;Furniture;Kitchen;Internet;Toilets,Private Sale;Fashion Showroom;Corporate Event;Photoshoot & Filming,paris
733,15810,4,56.0,490.0,,,2692.0,,,Belle boutique dans le célèbre Palais-Royal,Belle boutique dans le célèbre Palais-Royal,"Cette élégante boutique de 40m², dont une jolie cave voutée de 20m² pouvant faire office de réserve, vous est proposée en location Éphémère pour l’organisation de vos prochains Showrooms, Pop-Up Stores, Boutiques Ephémères, Lancements de Produits/Marques, Ventes Privées…
Nous entrons par une fort belle devanture aux charmes d’antan. Vitrines élégamment arrondies et vêtue d’un manteau noir, elle a beaucoup de chic.

Puis, nous découvrons un intérieur absolument irrésistible. Sol habillé d’un joli parquet aux tonalités plutôt claires, murs blancs sur lesquels de magnifiques colombages se sont chaudement nichés, un plafond orné de ravissantes poutres apparentes blanches et le tout illuminé avec beaucoup de finesse fait de cet espace un complice soigné pour accompagner un bel éventail d’évènements.

Située au coeur du quartier Louvre-Rivoli, cette boutique profite d’un environnement où luxe et prestige se sont donnés rendez-vous et offre visibilité et passage non négligeables.","Cette élégante boutique de 40m², dont une jolie cave voutée de 20m² pouvant faire office de réserve, vous est proposée en location Éphémère pour l’organisation de vos prochains Showrooms, Pop-Up Stores, Boutiques Ephémères, Lancements de Produits/Marques, Ventes Privées…
Nous entrons par une fort belle devanture aux charmes d’antan.",Palais Royal,Paris,75001,Boutique / Shop,,Electricity;Security System;Internet,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming,paris
734,11277,30,,,10000.0,,,,,Charmant Showroom du Marais,Charmant Showroom du Marais,"Cette boutique de 85m² à l’indéniable cachet, située au coeur du Marais, à deux pas de la rue de Bretagne, est une location éphémère parfaite pour y organiser des Pop-Up Stores ou Showrooms Fashion Week.
L’espace profite de 8 mètres de devanture pour une visibilité optimale. On découvre un intérieur moderne très bien équipé. Étagères, portants et autres facilités sont autant d’options mises à votre disposition pour des présentations de produits efficaces.

Entouré d’enseignes tendance comme Helmut, APC et de nombreuses galeries d’art, cet espace profite d’un environnement « trendy », très apprécié des fashionistas.","Cette boutique de 85m² à l’indéniable cachet, située au coeur du Marais, à deux pas de la rue de Bretagne, est une location éphémère parfaite pour y organiser des Pop-Up Stores ou Showrooms Fashion Week.",Le Marais,Paris,75003,Boutique / Shop,,Furniture;Electricity;Fitting Rooms;Lighting;Security System;Stock Room;Street Level;Window Display;Toilets,Pop-Up Store;Fashion Showroom,paris
766,16835,1,15.0,2500.0,,,17000.0,,,Concept store unique a Paris,Concept store unique a Paris,"Situé au cœur du quartier Etienne Marcel, centre historique de la culture urbaine à Paris dans ce quartier de la fashion week, cet espace de vente sublime est un lieu privilégié pour accueillir des marques de pop-up, de lancement de produit ou de showroom.

Divisé en trois étages, à savoir un barbier propre et chaleureux au rez-de-chaussée, le barbier rappelle le barbier new-yorkais avec un parquet verni, des fauteuils inclinables en cuir marron, un écran en miroir. Au sous-sol, un appartement qui offre une table de billard, une console de jeux pour défier vos invités et un cinéma (un vrai). Enfin, au premier étage, le showroom est divisé en 5 coins. Avec une belle façade et de grandes baies vitrées, cette élégante boutique offre une bonne visibilité et l'espace est rempli d'une lumière naturelle brillante. Les intérieurs sont contemporains avec des murs blancs et des planchers en bois donnant à l'espace une atmosphère moderne. Cet espace offre des commodités de base, y compris une zone de stockage et peut accueillir une variété de salles d'exposition ainsi qu'une gamme de pop-ups au détail. Veuillez noter que vous avez l'avantage de bénéficier de corners d'une dizaine de mètres carrées mis à votre disposition, s'il n'y a pas de nécessité de louer la totalité de l'espace.

Entouré de détaillants de mode à forte fréquentation, cet espace est idéal pour les concepteurs qui souhaitent être exposés dans un environnement créatif.","Situé au cœur du quartier Etienne Marcel, centre historique de la culture urbaine à Paris dans ce quartier de la fashion week, cet espace de vente sublime est un lieu privilégié pour accueillir des marques de pop-up, de lancement de produit ou de showroom.",,Paris,75001,Unique Space,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Lighting;Security System;Stock Room;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Ground Floor,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming,paris
771,30599,1,5.0,500.0,,1000.0,,False,,,Un atelier d'horlogerie en plein coeur du marais,"Situé un plein coeur du marais, très lumineux, original.

Louez notre espace qui vous permet de présenter vos produits (ou autre) dans un atelier d'horlogerie très atypique du quartier des Arts et Métiers. Pour tout type de présentation, showroom... 

N'hésitez pas à nous contacter pour plus d'informations.",,,Paris,75003,Atelier / Workshop Studio,,Furniture;Electricity;Heating;Kitchen;Lighting;Internet;Office Equipment;Toilets;Daylight;Haussmann Style;Water Access,Fashion Show;Private Sale;Pop-Up Store;Fashion Showroom;Conference;Meeting;Photo Shooting,paris
790,17480,1,,1666.0,12500.0,,5416.0,False,,Galerie Charmante près des Invalides,Galerie Charmante près des Invalides,"Bénéficiant d'un emplacement avantageux à 10 minutes à pied des Invalides, cet incroyable espace est parfait pour un magasin éphémère, un lancement de produit ou une vente privée. 

Cette galerie unique offre une atmosphère créative avec de belles façades qui laissent entrer beaucoup de lumière naturelle, créant une ambiance lumineuse. Les intérieurs sont contemporains avec des murs blancs et des planchers en bois donnant à l'espace une atmosphère moderne. Avec divers aménagements, cette galerie est une toile vierge idéale pour que les marques organisent leur exposition pop-up idéale. 

Situé à quelques minutes du pont d'Alma et entouré de détaillants de mode, cet espace est idéal pour que les artistes et les concepteurs puissent s'exposer dans un cadre créatif.","Bénéficiant d'un emplacement avantageux à 10 minutes à pied des Invalides, cet incroyable espace est parfait pour un magasin éphémère, un lancement de produit ou une vente privée.",,Paris,75007,Art Gallery,,Furniture;Counters;Electricity;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,paris
814,9453,7,15.0,,20000.0,,10500.0,,,Boutique éphémère de choix dans Le Marais,Boutique éphémère de choix dans Le Marais,"Voici une fort belle boutique, parfaitement modulable, de 100m², composée d’une pièce principale de 50m² en rez de cahussée et d’un moins-un de 50m². Elle vous est proposée en location Éphémère afin d’y organiser vos prochains Showrooms, Showrooms Fashion Week, Ventes Privées, Pop-Up Stores, Boutiques Ephémères, Lancements de Produits/Marque, Cocktails/Réceptions, Événements Presse ou Shootings…
C’est au sein d’un bel immeuble parisien que se dessine sa jolie devanture noire pourvue de quatre grandes vitrines visibles rectangulaires et en angle de rue pour une visibilité optimale.

Agréable hauteur sous plafond, ravissant parquet à fines lattes choisi dans un coloris clair, murs en briques teintés de blanc et dont on adore la touche de rouge, de nombreux miroirs pour une délicieuse profondeur de champ et le tout soutenu par de nombreux plafonniers tendances et autres spots inclinables habillent ce coquet rez de chaussée. Son voisin de dessous sera parfait pour inventer un Showroom ou des Ventes Privées, événements plus intimistes.

Situé dans le quartier du Marais, aux portes de Rambuteau, ce lieu profite d’un environnement dynamique.","Voici une fort belle boutique, parfaitement modulable, de 100m², composée d’une pièce principale de 50m² en rez de cahussée et d’un moins-un de 50m².",Le Marais,Paris,75003,Boutique / Shop,,Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets,Private Sale;Pop-Up Store;Fashion Showroom,paris
833,32089,1,,200.0,1200.0,200.0,500.0,False,,,Votre Pop-Up Store idéalement situé en face du marché du Plessis Robinson,"Espace de travail partagé (Coworking) mis en place dans le respect des gestes barrière et dédié à celles et ceux qui n'ont pas les conditions de travail optimisées à domicile. L'espace est tout équipé : Mobilier ergonomique, Salle de réunion, Internet haut débit, service de réception du courrier, bureaux privés, postes de travail dédiés ou flexibles, kitchenette, cabine téléphonique acoustique, événements, ateliers d’acculturation au numérique et à la sécurité du numérique …
Autant d’équipements et de services qui sauront plaire et convenir à toutes celles et ceux qui désirent vivre la « vie de bureau » sans toutes ses contraintes.",,,Le Plessis-Robinson,92350,Other,,Furniture;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Stunning View;Ground Floor;Daylight;Multiple Rooms;Soundproof,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,paris
844,29350,168,,,16500.0,,,,,,Boutique Emplacement Prime - Quartier Saint-Honoré,"Située au coeur du quartier Saint-Honoré, à quelques pas de la célèbre Rue Saint-Honoré ainsi que de la Place du Marché Saint-Honoré, cette boutique est idéale pour vos Pop-Up Stores, vos expositions d'Art.

Cette unité commerciale vous offre une belle vitrine entièrement vitrée d'environ 4m de linéaire. Elle est composée d'un RDC de 50 m² et d'un sous-sol de 39 m². Au premier niveau, des murs blancs, un sol en carrelage sombre et élégant, le plafond est sombre et industriel avec des luminaires. Un style contemporain/industriel très moderne. L'accès au niveau inférieur se fait par les escaliers centraux. Au sous-sol, trois pièces en enfilade (28 m² + 7 m² + 4m²), les murs des premières pièces sont en pierres apparentes avec parquet au sol. La dernière pièce est recouverte de blanc avec une arrivée d'eau (pour un espace employé). À noter que le sous-sol n'est pas une surface commerciale mais peut-être utilisée pour stockage, atelier, exposition.

Entourée de détaillants de la mode, dans un environnement haut de gamme, à très luxueux, cette boutique est idéale pour tous les créateurs à la recherche d'un emplacement de choix au coeur d'un quartier dynamique et huppé de la capitale Française.",,,Paris,75001,Boutique / Shop,,Electricity;Heating;Security System;Stock Room;Street Level;Window Display;Toilets;Whitebox / Minimal;Industrial;Multiple Rooms;Water Access,Private Sale;Product Launch;Pop-Up Store,paris
850,19802,1,,4500.0,,,,False,,Espace Unique avec le plus haut rooftop des Champs-Élysées,Espace Unique avec le plus haut rooftop des Champs-Élysées,"Cet espace moderne et lumineux est situé dans le quartier chic des Champs-Élysées. Cet espace sophistiqué est un lieu idéal pour une salle d'exposition, un événement privé ou une vente exclusive. 

Le site comprend le toit au 10ème étage, une salle de stockage au 10ème étage, une serre couverte les 9 et 10, un hall d’entrée au 9ème étage donnant accès aux toilettes des hommes et des femmes, aux deux escaliers, au vestiaire, ainsi que l'ascenseur intérieur. Avantageusement composé de 2 terrasses distinctes ainsi que d’un espace de 60 m² réservé à l’accueil, cela donne droit à une superbe vue directe sur les Champs- Élysées avec d'un côté un regard sur l’arc de triomphe et de l'autre sur la tour Eiffel.

Dans un lieu d’exception, à l’adresse confidentielle située en plein milieu des Champs-Elysées, tout en haut de l’immeuble le plus haut de l’Avenue, un lieu unique par son rooftop qui offre une vue panoramique et à 360 degrés sur tous les monuments de Paris. Cet espace moderne, lumineux et sophistiqué est un lieu idéal pour une salle d’exposition, un événement privé ou une vente exclusive. Cet espace est entouré de plusieurs flagships comme celui de Louis Vuitton. Il s’agit d’une occasion exceptionnelle pour les marques de s’aligner sur les plus grandes marques du monde.",Cet espace moderne et lumineux est situé dans le quartier chic des Champs-Élysées.,Champs-Elysées,Paris,75008,Rooftop,,Air Conditioning;Furniture;Electricity;Heating;Lighting;Security System;Internet;Sound & Video Equipment;Toilets;Stunning View;Rooftop,Fashion Show;Late Night Event (after 10pm);Product Launch;Photoshoot & Filming,paris
